employee_id,skill_name,role_id,proficiency_level,proficiency_change_per_day,days_since_last_assessment,gap_severity,role_complexity,future_deficiency_score,assessment_date
EMP-0001,Python,Senior_Engineer,0.50948672438948,0.003175150928013813,18,0.18024507644458532,0.7,0.48538128599239827,2026-07-08T20:53:45.453953
EMP-0001,FastAPI,Senior_Engineer,1.0,0.009254878896562091,12,0.41529102615285984,0.7,0.0,2026-07-14T20:53:45.453953
EMP-0001,WFM_Forecasting,Senior_Engineer,1.0,0.010219243390599658,25,0.6101517844581383,0.7,0.0,2026-07-01T20:53:45.453953
EMP-0001,RTA_Adherence,Senior_Engineer,1.0,0.005205771121184416,13,0.8332201208024814,0.7,0.2604369267657082,2026-07-13T20:53:45.453953
EMP-0001,Churn_Analysis,Senior_Engineer,0.0,-0.009650471507914654,2,0.36651037441973244,0.7,1.472769332447306,2026-07-24T20:53:45.453953
EMP-0002,Python,Senior_Engineer,0.9118022223667297,0.005821849147677223,25,0.4572974375848362,0.7,0.1421910219953716,2026-07-01T20:53:45.453953
EMP-0002,FastAPI,Senior_Engineer,0.26471104425029784,-0.0019691013541436302,25,0.9919295277905414,0.7,1.2903267602692818,2026-07-01T20:53:45.453953
EMP-0002,WFM_Forecasting,Senior_Engineer,0.8408640763813436,0.002400491018363331,26,0.9711654867101436,0.7,0.5727039364228282,2026-06-30T20:53:45.453953
EMP-0002,RTA_Adherence,Senior_Engineer,1.0,0.005717912720946227,21,0.47585422435092006,0.7,0.06638973054707331,2026-07-05T20:53:45.453953
EMP-0002,Churn_Analysis,Senior_Engineer,1.0,0.005518571218743894,4,0.8818570185933146,0.7,0.27537137273434054,2026-07-22T20:53:45.453953
EMP-0003,Python,Senior_Engineer,1.0,0.012983301059781295,23,0.2891896665596748,0.7,0.0,2026-07-03T20:53:45.453953
EMP-0003,FastAPI,Senior_Engineer,0.995565653968046,0.006390440988636567,15,0.4239142759711848,0.7,0.024678254358449336,2026-07-11T20:53:45.453953
EMP-0003,WFM_Forecasting,Senior_Engineer,1.0,0.009699162047954185,22,0.526894216438076,0.7,0.0,2026-07-04T20:53:45.453953
EMP-0003,RTA_Adherence,Senior_Engineer,0.27967024301558074,-0.005632300374850944,28,0.09259926389024287,0.7,0.935598400175069,2026-06-28T20:53:45.453953
EMP-0003,Churn_Analysis,Senior_Engineer,1.0,0.012293069617380444,18,0.9097643430099963,0.7,0.08609008298358484,2026-07-08T20:53:45.453953
EMP-0004,Python,Junior_Engineer,0.6861866698401503,-0.0008099162409514072,14,0.5282757619155563,0.3,0.60224869834617,2026-07-12T20:53:45.453953
EMP-0004,FastAPI,Junior_Engineer,0.0,-0.00810407323537747,2,0.0913481162856895,0.3,1.288796255204169,2026-07-24T20:53:45.453953
EMP-0004,WFM_Forecasting,Junior_Engineer,0.1567559635284087,-0.006992140399128715,12,0.1033557618752089,0.3,1.1046861293830572,2026-07-14T20:53:45.453953
EMP-0004,RTA_Adherence,Junior_Engineer,1.0,0.018489639808024268,22,0.4147061910167531,0.3,0.0,2026-07-04T20:53:45.453953
EMP-0004,Churn_Analysis,Junior_Engineer,0.0,-0.005652340763691391,28,0.19008116786749607,0.3,1.2646108068444897,2026-06-28T20:53:45.453953
EMP-0005,Python,Junior_Engineer,1.0,0.009294200945261457,2,0.2182103908543228,0.3,0.0,2026-07-24T20:53:45.453953
EMP-0005,FastAPI,Junior_Engineer,1.0,0.018812868483920123,21,0.09753588044493555,0.3,0.0,2026-07-05T20:53:45.453953
EMP-0005,WFM_Forecasting,Junior_Engineer,0.9688406596017717,0.0024710161709935417,23,0.0029282862855675162,0.3,0.0,2026-07-03T20:53:45.453953
EMP-0005,RTA_Adherence,Junior_Engineer,1.0,0.010406690530371758,29,0.2400227022248127,0.3,0.0,2026-06-27T20:53:45.453953
EMP-0005,Churn_Analysis,Junior_Engineer,0.42482323062014427,0.001970102239693787,13,0.629751165230222,0.3,0.8309492848041531,2026-07-13T20:53:45.453953
EMP-0006,Python,Senior_Engineer,0.9846292711250673,0.00400533163944641,9,0.020630557706025177,0.7,0.0,2026-07-17T20:53:45.453953
EMP-0006,FastAPI,Senior_Engineer,0.0,-0.009795468936263867,8,0.7908958212344696,0.7,1.6893119787051507,2026-07-18T20:53:45.453953
EMP-0006,WFM_Forecasting,Senior_Engineer,0.4659528159029198,0.000972560401461875,7,0.7765752159494403,0.7,0.8931579800279441,2026-07-19T20:53:45.453953
EMP-0006,RTA_Adherence,Senior_Engineer,0.6297593980389189,-0.0003199381569217157,7,0.34458500995607866,0.7,0.552131251646772,2026-07-19T20:53:45.453953
EMP-0006,Churn_Analysis,Senior_Engineer,1.0,0.011940497859514938,23,0.8105407823360296,0.7,0.047055455382566724,2026-07-03T20:53:45.453953
EMP-0007,Python,Ops_Manager,1.0,0.013851538692348097,1,0.12510996346798664,0.9,0.0,2026-07-25T20:53:45.453953
EMP-0007,FastAPI,Ops_Manager,0.5607029924092753,0.0013674083092993644,8,0.28670013280067463,0.9,0.5416248247120811,2026-07-18T20:53:45.453953
EMP-0007,WFM_Forecasting,Ops_Manager,1.0,0.006906080191057528,17,0.5478516250582616,0.9,0.06674340679740504,2026-07-09T20:53:45.453953
EMP-0007,RTA_Adherence,Ops_Manager,1.0,0.0074402156388005385,26,0.29936005696803014,0.9,0.0,2026-06-30T20:53:45.453953
EMP-0007,Churn_Analysis,Ops_Manager,0.744476312896375,0.0015328007702282882,4,0.00632832389511917,0.9,0.21270382594433596,2026-07-22T20:53:45.453953
EMP-0008,Python,Junior_Engineer,0.49505141892646926,0.0011556215873711837,26,0.9079287239904765,0.3,0.9242442954476335,2026-06-30T20:53:45.453953
EMP-0008,FastAPI,Junior_Engineer,0.9409836308996207,0.007282945777833822,16,0.9086658163735982,0.3,0.29486090395216374,2026-07-10T20:53:45.453953
EMP-0008,WFM_Forecasting,Junior_Engineer,0.7873852948137281,0.002369306417292225,11,0.42742234359334685,0.3,0.3552466844641786,2026-07-15T20:53:45.453953
EMP-0008,RTA_Adherence,Junior_Engineer,1.0,0.009183142473816906,11,0.8573254876821443,0.3,0.15316846962656494,2026-07-15T20:53:45.453953
EMP-0008,Churn_Analysis,Junior_Engineer,0.4598196941463427,-0.0020787241863522987,27,0.22552804802050352,0.3,0.715306055454478,2026-06-29T20:53:45.453953
EMP-0009,Python,Junior_Engineer,1.0,0.01869024371146745,23,0.5315903099703028,0.3,0.0,2026-07-03T20:53:45.453953
EMP-0009,FastAPI,Junior_Engineer,0.0975954985590537,-0.004013099156495608,11,0.6995548719121494,0.3,1.3725749120918893,2026-07-15T20:53:45.453953
EMP-0009,WFM_Forecasting,Junior_Engineer,1.0,0.007461773524372864,1,0.3036146167937612,0.3,0.0,2026-07-25T20:53:45.453953
EMP-0009,RTA_Adherence,Junior_Engineer,1.0,0.010350712405165557,3,0.955629966802013,0.3,0.1672936112460398,2026-07-23T20:53:45.453953
EMP-0009,Churn_Analysis,Junior_Engineer,0.9853105623898094,0.007716202183686035,21,0.20755462869774266,0.3,0.0,2026-07-05T20:53:45.453953
EMP-0010,Python,Ops_Manager,1.0,0.010523824882713044,23,0.6679990108202144,0.9,0.018284758928716005,2026-07-03T20:53:45.453953
EMP-0010,FastAPI,Ops_Manager,0.7600509469080374,0.0007063608726825751,17,0.11969533486060424,0.9,0.2786058943417874,2026-07-09T20:53:45.453953
EMP-0010,WFM_Forecasting,Ops_Manager,0.0,-0.006603505893731328,24,0.8964438875762344,0.9,1.646327120600057,2026-07-02T20:53:45.453953
EMP-0010,RTA_Adherence,Ops_Manager,1.0,0.004346487115113493,28,0.5902011099447547,0.9,0.1647059415189725,2026-06-28T20:53:45.453953
EMP-0010,Churn_Analysis,Ops_Manager,0.0,-0.009525500270046994,7,0.4804247251936997,0.9,1.5259773706982598,2026-07-19T20:53:45.453953
EMP-0011,Python,Senior_Engineer,1.0,0.011362620781010418,16,0.9034244719351165,0.7,0.11083361253724577,2026-07-10T20:53:45.453953
EMP-0011,FastAPI,Senior_Engineer,0.21401432927547245,-0.0015187479996619357,15,0.5699434855140829,0.7,1.1165198534714271,2026-07-11T20:53:45.453953
EMP-0011,WFM_Forecasting,Senior_Engineer,0.0,-0.009531095694988466,20,0.15207850695135527,0.7,1.3619721243253315,2026-07-06T20:53:45.453953
EMP-0011,RTA_Adherence,Senior_Engineer,1.0,0.01623831253087446,21,0.9746047537964975,0.7,0.00015300097201498275,2026-07-05T20:53:45.453953
